job_id,title,company,location,posted_date,job_url,description,seniority_level,employment_type,job_function,industries
,Senior Embedded Engineer - Innovative Tech Firm,Andiamo,"Los Angeles, CA",2025-11-11,https://www.linkedin.com/jobs/view/senior-embedded-engineer-innovative-tech-firm-at-andiamo-4306623813?position=1&pageNum=0&refId=VPJNkZNihOJKxR3g9LYbkQ%3D%3D&trackingId=rkugwa7bpMAqJhynKftj6Q%3D%3D,,,,,
,Hardware Electrical Engineer,Motorola Solutions,"Culver City, CA",2025-11-11,https://www.linkedin.com/jobs/view/hardware-electrical-engineer-at-motorola-solutions-4316644258?position=2&pageNum=0&refId=VPJNkZNihOJKxR3g9LYbkQ%3D%3D&trackingId=RMY7x8oQMK1isQkuTfGvyg%3D%3D,,,,,
,Mechatronics Engineer I/II,Lila Sciences,"Cambridge, MA",2025-11-11,https://www.linkedin.com/jobs/view/mechatronics-engineer-i-ii-at-lila-sciences-4335445535?position=3&pageNum=0&refId=VPJNkZNihOJKxR3g9LYbkQ%3D%3D&trackingId=GPrZX0Iq54lMF2OCxQOYjA%3D%3D,,,,,
,Embedded System Eng (IFS),"Aroha Technologies, Inc","Phoenix, AZ",2025-11-11,https://www.linkedin.com/jobs/view/embedded%C2%A0system-eng-ifs-at-aroha-technologies-inc-4335425407?position=4&pageNum=0&refId=VPJNkZNihOJKxR3g9LYbkQ%3D%3D&trackingId=jYxfzqoBKSS5nGWd1N%2Fd%2FA%3D%3D,,,,,
,Principal Electrical Controls Engineer,Third Pole Therapeutics,"Waltham, MA",2025-11-11,https://www.linkedin.com/jobs/view/principal-electrical-controls-engineer-at-third-pole-therapeutics-4335555069?position=5&pageNum=0&refId=VPJNkZNihOJKxR3g9LYbkQ%3D%3D&trackingId=jmvCq5gj0bENzE9CJZ5ViA%3D%3D,,,,,
,Lead Embedded Software Engineer - Powering Autonomous Vehicles,WIT Recruiting,"San Francisco, CA",2025-11-11,https://www.linkedin.com/jobs/view/lead-embedded-software-engineer-powering-autonomous-vehicles-at-wit-recruiting-4306625783?position=6&pageNum=0&refId=VPJNkZNihOJKxR3g9LYbkQ%3D%3D&trackingId=sUXZT4dfVjeQdgnMkhq%2Fug%3D%3D,,,,,
,Embedded System Engineer,Saxon Global,"Phoenix, AZ",2025-11-11,https://www.linkedin.com/jobs/view/embedded-system-engineer-at-saxon-global-4339764454?position=7&pageNum=0&refId=VPJNkZNihOJKxR3g9LYbkQ%3D%3D&trackingId=gu74HdP3c3XpeGG%2BUDnKGQ%3D%3D,,,,,
,Embedded Software Engineer,Global Connect Technologies,"Michigan, United States",2025-11-11,https://www.linkedin.com/jobs/view/embedded-software-engineer-at-global-connect-technologies-4335415590?position=8&pageNum=0&refId=VPJNkZNihOJKxR3g9LYbkQ%3D%3D&trackingId=6c%2B3LEMo%2FgVQ8%2FCd0snhYA%3D%3D,,,,,
,Electronic Engineer III,CyberCoders,"San Luis Obispo, CA",2025-11-11,https://www.linkedin.com/jobs/view/electronic-engineer-iii-at-cybercoders-4306676882?position=9&pageNum=0&refId=VPJNkZNihOJKxR3g9LYbkQ%3D%3D&trackingId=ICm49BciyHnHAXy%2FQa%2FYbA%3D%3D,,,,,
,Senior Embedded Software Engineer - AUTOSAR and Ethernet,Global Connect Technologies,"Dearborn, MI",2025-11-11,https://www.linkedin.com/jobs/view/senior-embedded-software-engineer-autosar-and-ethernet-at-global-connect-technologies-4335405496?position=10&pageNum=0&refId=VPJNkZNihOJKxR3g9LYbkQ%3D%3D&trackingId=CeG6qzNaBjBKDRGl1vDPCg%3D%3D,,,,,
