title,company,location,posted_date,job_type,remote_option,salary_info,job_url,scraped_date
EdgeOps Engineer (all genders),,Munich,vor 10 Stunden,Vollzeit,Vor Ort,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--EdgeOps-Engineer-all-genders-Berlin-Munich-SKD-SE--13318387-inline.html,2025-11-11 16:40:09
Freier Handelsvertreter (m/w/d) für Embedded Systeme im Raum DACH,,Bewerbung,vor 16 Stunden,Freelance,Vor Ort,,https://www.stepstone.de/stellenangebote--Freier-Handelsvertreter-m-w-d-fuer-Embedded-Systeme-im-Raum-DACH-Stutensee-Marketplace-Hub--12675228-inline.html,2025-11-11 16:40:09
"Duales Studium: ""Embedded Systems"" (w/m/d), Taufkirchen, Start 2026",,Taufkirchen,vor 4 Stunden,Duales Studium,Vor Ort,,https://www.stepstone.de/stellenangebote--Duales-Studium-Embedded-Systems-w-m-d-Taufkirchen-Start-2026-Taufkirchen-HENSOLDT--13187227-inline.html,2025-11-11 16:40:09
Senior Embedded Software Engineer (all genders),,Munich,vor 13 Stunden,Vollzeit,Vor Ort,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Senior-Embedded-Software-Engineer-all-genders-Munich-SKD-SE--13318437-inline.html,2025-11-11 16:40:09
Entwicklungsingenieur (m/w/d) Embedded Software,,Bodensee,vor 13 Stunden,Vollzeit,Vor Ort,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Entwicklungsingenieur-m-w-d-Embedded-Software-Ueberlingen-am-Bodensee-Diehl-Defence-GmbH-Co-KG--13187868-inline.html,2025-11-11 16:40:09
Testmanager Embedded-IoT-Produkte (m/w/d),,Taunusstein (Großraum Wiesbaden),vor 14 Stunden,Vollzeit,Teilweise Home-Office,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Testmanager-Embedded-IoT-Produkte-m-w-d-Taunusstein-Grossraum-Wiesbaden-BRITA-Gruppe--13317922-inline.html,2025-11-11 16:40:09
Working Student (m/f/d) Product Development and Series Support,,München,vor 4 Stunden,Werkstudent,Vor Ort,,https://www.stepstone.de/stellenangebote--Working-Student-m-f-d-Product-Development-and-Series-Support-Muenchen-AES-Aerospace-Embedded-Solutions-GmbH--13187268-inline.html,2025-11-11 16:40:09
Experte Elektrik / Elektronik und Softwareentwicklung (w/m/d),,Heilbronn,vor 9 Stunden,Vollzeit,Teilweise Home-Office,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Experte-Elektrik-Elektronik-und-Softwareentwicklung-w-m-d-Pfedelbach-bei-Heilbronn-SCHEUERLE-Fahrzeugfabrik-GmbH--13318363-inline.html,2025-11-11 16:40:09
Electronic Warfare Software Engineer (All Genders),,Berlin,vor 15 Stunden,Vollzeit,Vor Ort,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Electronic-Warfare-Software-Engineer-All-Genders-Berlin-SKD-SE--13318388-inline.html,2025-11-11 16:40:10
Radio & Data Link Integration Engineer (m/f/d),,Munich,vor 6 Stunden,Vollzeit,Vor Ort,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Radio-Data-Link-Integration-Engineer-m-f-d-Munich-SKD-SE--13318415-inline.html,2025-11-11 16:40:10
Werkstudent Onboard Software (m/w/d),,Stuttgart,vor 2 Stunden,Werkstudent,Teilweise Home-Office,,https://www.stepstone.de/stellenangebote--Werkstudent-Onboard-Software-m-w-d-Stuttgart-Mercedes-Benz-Tech-Innovation--13319291-inline.html,2025-11-11 16:40:10
Automotive Test Engineer - Vehicle Access Systems (m/w/d),,München,vor 10 Stunden,Vollzeit,Vor Ort,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Automotive-Test-Engineer-Vehicle-Access-Systems-m-w-d-Muenchen-Tata-Technologies-Europe-Ltd--13317541-inline.html,2025-11-11 16:40:10
Entwicklungsingenieur für Optische „High-Speed“-Verbindungstechnik mit Schwerpunkt Messtechnik (m/w/x),,Oberkochen (Baden-Württemberg),vor 12 Stunden,Vollzeit,Vor Ort,,https://www.stepstone.de/stellenangebote--Entwicklungsingenieur-fuer-Optische-High-Speed-Verbindungstechnik-mit-Schwerpunkt-Messtechnik-m-w-x-Oberkochen-Baden-Wuerttemberg-ZEISS--13317807-inline.html,2025-11-11 16:40:10
(S)VP Counter-UAS – Lead for Counter-Drone/Missile Systems,,Berlin,vor 5 Stunden,Vollzeit,Vor Ort,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--SVP-Counter-UAS-Lead-for-Counter-Drone-Missile-Systems-Munich-Berlin-SKD-SE--13318377-inline.html,2025-11-11 16:40:10
Senior IT Berater - SAP BI / Analytics / Cloud / Sales (m/w/d),,Office,vor 7 Stunden,Vollzeit,Teilweise Home-Office,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Senior-IT-Berater-SAP-BI-Analytics-Cloud-Sales-m-w-d-Halle-Saale-Freiburg-im-Breisgau-Karlsruhe-Berlin-Hamburg-Muenchen-Leipzig-Dresden-NEOMATIC-AG--13187266-inline.html,2025-11-11 16:40:10
Embedded Softwareentwickler in der Verkehrstechnik (m/w/d),,Dresden,vor 12 Stunden,Vollzeit,Vor Ort,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Embedded-Softwareentwickler-in-der-Verkehrstechnik-m-w-d-Dresden-Marketplace-Hub--13318142-inline.html,2025-11-11 16:40:10
Hardwareentwickler / Leiterplatten-Layouter (m/w/d),,Lahn,vor 16 Stunden,Vollzeit,Teilweise Home-Office,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Hardwareentwickler-Leiterplatten-Layouter-m-w-d-Limburg-an-der-Lahn-Marketplace-Hub--13201576-inline.html,2025-11-11 16:40:10
Production Engineer / Specialist – Robotics (m/f/d),,Oberding,vor 16 Stunden,Vollzeit,Vor Ort,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Production-Engineer-Specialist-Robotics-m-f-d-Oberding-Marketplace-Hub--13187584-inline.html,2025-11-11 16:40:10
Elektronikentwickler/in (m/w/d),,Nuremberg,vor 16 Stunden,Vollzeit,Teilweise Home-Office,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Elektronikentwickler-in-m-w-d-Nuremberg-Marketplace-Hub--10990695-inline.html,2025-11-11 16:40:11
Linux-Systementwickler (gn),,Chemnitz,vor 15 Stunden,Vollzeit,Vor Ort,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Linux-Systementwickler-gn-Chemnitz-Marketplace-Hub--13061549-inline.html,2025-11-11 16:40:11
Senior Cyber Security Engineer (m/f/d),,Oberding,vor 10 Stunden,Vollzeit,Vor Ort,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Senior-Cyber-Security-Engineer-m-f-d-Oberding-Marketplace-Hub--13187588-inline.html,2025-11-11 16:40:11
Innovation Enabler (m/w/d),,Deutschland,vor 14 Stunden,Vollzeit,Teilweise Home-Office,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Innovation-Enabler-m-w-d-Hamburg-Deutschland-Marketplace-Hub--13316908-inline.html,2025-11-11 16:40:11
